factor_name,coverage,nunique,quality_ok,ic,icir,win_rate,p_adjusted,significant,stable,redundant,selected,ic_2020,ic_2021,ic_2022,ic_2023,ic_2024,ic_2025,pos_2020,pos_2021,pos_2022,pos_2023,pos_2024,pos_2025,n_years,n_ic_years,ic_consistency
VSUMP30,1.0,2632127,True,-0.034004075938870254,-0.39543640934443475,0.35120274914089344,0.0,False,True,True,False,-0.03589041576262852,-0.011883150932970949,-0.04266983235678894,-0.02814759587471726,-0.03900971220048438,-0.05765778324239107,0.35802469135802467,0.4691358024691358,0.30991735537190085,0.3677685950413223,0.359504132231405,0.24279835390946503,6,5,0.8333333333333334
VSUMD30,1.0,4304586,True,-0.03400407600688364,-0.3954362227777986,0.35120274914089344,0.0,False,True,True,False,-0.03589037263708274,-0.011883136938762329,-0.04266986901052038,-0.028147583287028037,-0.03900967700670512,-0.0576577367173674,0.35802469135802467,0.4691358024691358,0.30991735537190085,0.3677685950413223,0.359504132231405,0.24279835390946503,6,5,0.8333333333333334
SUMP30,1.0,1738557,True,-0.03404880613112788,-0.2860321899512654,0.3965635738831615,0.0,False,True,True,False,-0.029980857264990328,-0.030174204451632377,-0.0531108434171365,-0.02595449740567121,-0.04718405809382775,-0.05851507024501584,0.3950617283950617,0.42386831275720166,0.3925619834710744,0.4090909090909091,0.4297520661157025,0.3292181069958848,6,6,1.0
SUMD30,1.0,2731024,True,-0.03405001698463678,-0.28603383687533207,0.3965635738831615,0.0,False,True,True,False,-0.029982043941257204,-0.030174159352789262,-0.05311097181235,-0.025954556661732874,-0.04718400813270791,-0.05851513063471462,0.3950617283950617,0.42386831275720166,0.3925619834710744,0.4090909090909091,0.4297520661157025,0.3292181069958848,6,6,1.0
momentum_1m,1.0,2935631,True,-0.03418828044755106,-0.28677141779693416,0.3835051546391753,0.0,False,True,True,False,-0.028747550736694966,-0.02197317127096472,-0.045034727404713475,-0.0342787283167096,-0.05290511156092754,-0.0713926480149042,0.41975308641975306,0.42386831275720166,0.4132231404958678,0.3677685950413223,0.39669421487603307,0.27983539094650206,6,6,1.0
Alpha88,1.0,2844361,True,-0.034188280805856355,-0.28677140710713395,0.3835051546391753,0.0,False,True,True,False,-0.028747550871878056,-0.021973165165760335,-0.04503471067586193,-0.03427873330419003,-0.052905091547913244,-0.07139266642947531,0.41975308641975306,0.42386831275720166,0.4132231404958678,0.3677685950413223,0.39669421487603307,0.27983539094650206,6,6,1.0
CORR10,1.0,4117158,True,-0.03587212049213106,-0.43744569162280733,0.30584192439862545,,False,False,False,False,-0.03434817208117841,-0.02175723713975554,-0.039953614046054985,-0.029160397797768772,-0.0475514694987448,-0.05045021566777476,0.3045267489711934,0.35390946502057613,0.2809917355371901,0.34297520661157027,0.30578512396694213,0.24691358024691357,6,6,1.0
Alpha126,1.0,2957023,True,-0.03655594042322733,-0.22928946574908945,0.4274914089347079,0.0,False,True,True,False,-0.0066120216769792635,-0.05491076005336824,-0.048858214449630774,-0.05315241865794178,-0.04742181562934282,-0.006775491271727756,0.522633744855967,0.42386831275720166,0.4214876033057851,0.33884297520661155,0.3677685950413223,0.4897119341563786,6,4,0.6666666666666666
VSUMP60,1.0,2004671,True,-0.037599463561711656,-0.42647919344789575,0.33608247422680415,0.0,False,True,True,False,-0.03171366710728793,-0.03808626084053836,-0.03420023231126416,-0.037882566965357,-0.04556351186868715,-0.055639071025221115,0.34156378600823045,0.345679012345679,0.3884297520661157,0.34710743801652894,0.30991735537190085,0.2839506172839506,6,6,1.0
VSUMD60,1.0,4307531,True,-0.037599463655930414,-0.42647925943066184,0.33608247422680415,0.0,False,True,True,False,-0.031713679899014635,-0.0380863059861509,-0.03420017442080703,-0.037882559392068776,-0.045563569862962575,-0.05563908514653706,0.34156378600823045,0.345679012345679,0.3884297520661157,0.34710743801652894,0.30991735537190085,0.2839506172839506,6,6,1.0
STD10,1.0,4032096,True,-0.05012830920815223,-0.3438225862822112,0.3450171821305842,,False,False,False,False,-0.045069651395062776,-0.04233789356982882,-0.05502618418087389,-0.051996581514393514,-0.06826375956740827,-0.051836773729531,0.3868312757201646,0.35390946502057613,0.32231404958677684,0.3305785123966942,0.3347107438016529,0.34156378600823045,6,6,1.0
STD5,1.0,3906236,True,-0.05086333522346221,-0.3823095256854528,0.32714776632302406,,False,False,False,False,-0.045313573220372313,-0.04385654019543448,-0.0540807635958644,-0.05287602413178582,-0.06737738921644347,-0.055770147114710504,0.3662551440329218,0.32510288065843623,0.32644628099173556,0.3305785123966942,0.2975206611570248,0.3168724279835391,6,6,1.0
Alpha97,1.0,4239750,True,-0.0515057046820108,-0.44418656864946177,0.32027491408934705,,False,False,False,False,-0.051869752155798664,-0.041165106736826294,-0.05619134403581362,-0.06198269341704615,-0.036109598256323754,-0.07118580489631493,0.2757201646090535,0.37448559670781895,0.3140495867768595,0.32231404958677684,0.3925619834710744,0.24279835390946503,6,6,1.0
Alpha189,1.0,3411886,True,-0.05454872540239305,-0.35311102772178876,0.384192439862543,,False,False,False,False,-0.027727924848906804,-0.06201730805924805,-0.06828213408783382,-0.06590804478360711,-0.0716248879993715,-0.03755311713121045,0.4567901234567901,0.38271604938271603,0.3760330578512397,0.35537190082644626,0.30991735537190085,0.42386831275720166,6,6,1.0
KLEN,1.0,2030992,True,-0.05518437012561529,-0.4232457547959669,0.3134020618556701,,False,False,False,False,-0.05328106225390994,-0.05021759550221299,-0.061628081756659354,-0.07100107480396217,-0.06963880443232952,-0.04851726690072247,0.37037037037037035,0.3333333333333333,0.2892561983471074,0.2644628099173554,0.2892561983471074,0.3333333333333333,6,6,1.0
volatility_1m,1.0,3983698,True,-0.05817563828095455,-0.3742125950388419,0.3395189003436426,,False,False,False,False,-0.05865819388713061,-0.06457490702415936,-0.059876085595191794,-0.06739223910502816,-0.05866779518690278,-0.0464131708500679,0.37037037037037035,0.32098765432098764,0.28512396694214875,0.2975206611570248,0.371900826446281,0.39094650205761317,6,6,1.0
Alpha167,1.0,1814246,True,-0.0604863086002738,-0.42266258978289434,0.3656357388316151,,False,False,False,False,-0.03413069100964623,-0.0723693351641104,-0.07349217767737395,-0.08186218923065527,-0.07745576826208193,-0.043950762829960834,0.448559670781893,0.3786008230452675,0.371900826446281,0.2809917355371901,0.2975206611570248,0.4156378600823045,6,6,1.0
Alpha132,1.0,4227982,True,-0.06261797319024728,-0.4286647007018655,0.32989690721649484,,False,False,False,False,-0.034716615799173525,-0.07135260713165871,-0.07692003060219955,-0.09172812612184297,-0.05313382766583127,-0.06354780579521639,0.43209876543209874,0.34156378600823045,0.2066115702479339,0.2644628099173554,0.40082644628099173,0.3333333333333333,6,6,1.0
Alpha95,1.0,4242509,True,-0.06955574841953922,-0.5115163725592333,0.31821305841924397,,False,False,False,False,-0.04657029626611511,-0.0734424249959918,-0.08247175325407363,-0.0917436437538257,-0.06712602900854703,-0.0702987816856228,0.40329218106995884,0.3292181069958848,0.19834710743801653,0.256198347107438,0.38016528925619836,0.34156378600823045,6,6,1.0
Alpha150,1.0,4234953,True,-0.07121040363626273,-0.50241055255313,0.29690721649484536,,False,False,False,False,-0.04662358729395799,-0.0722686369037264,-0.0843260477547849,-0.10051446849873781,-0.06558002075923808,-0.08195944539143218,0.3950617283950617,0.31275720164609055,0.17355371900826447,0.26859504132231404,0.34710743801652894,0.2839506172839506,6,6,1.0
Alpha70,1.0,4250448,True,-0.0726481260627398,-0.5470222607039554,0.28865979381443296,,False,False,False,False,-0.050582925345703425,-0.07160526537878584,-0.08549011151034466,-0.09549635125384441,-0.06595249222330465,-0.08371253496086174,0.37448559670781895,0.32098765432098764,0.17768595041322313,0.24793388429752067,0.3347107438016529,0.2757201646090535,6,6,1.0
IMAX30,0.0,30,False,,,,,False,False,False,False,-0.027225248816395087,-0.02314613472362454,-0.051862047076681954,-0.016326744612799694,-0.04675149272206473,-0.04252198132553471,0.4279835390946502,0.41975308641975306,0.30991735537190085,0.44214876033057854,0.36363636363636365,0.3292181069958848,6,5,0.8333333333333334
